치료(Treatment),,,
Adaptive servo-ventilation,0,어댑티브 서보 환기,
Antibiotic,1,항생제,
Antibiotics,2,항생제,
Antibiotics.,3,항생제.,
Chemotherapy,4,화학요법,
Cough medicine,5,기침약,
Diuretics,6,이뇨제,
Intrapulmonary Percussive Ventilation,7,폐내 퍼커시브 환기,
Intravenous fluids,8,정맥액,
Mepolizumab,9,메폴리주맙,환자의 중증 천식 유지 치료
Omalizumab,10,오말리주맙,알레르기성 천식치료
Oseltamivir,11,오셀타미비르,
Pulmonary rehabilitation,12,폐재활,
Surgery,13,수술,
antibiotics,14,항생제,
aspirin,15,아스피린,
consult a doctor,16,의사와 상담하다,
consult doctor,17,의사의 진찰을 받다,
ethambutol,18,에탐부톨,
hypertonic saline,19,고토닉 식염수,
inhaler,20,흡입기,
inhealer,21,치료 중인,
isotonic sodium chloride solution,22,동위원소 염화 나트륨 용액,
itraconazole,23,이트라코나졸,
oxygen,24,산소,
oxyzen,25,산소의,
pyrazinamide,26,피라진아마이드,
rifampin,27,리팜핀,
saline nose drops,28,염분코약.,
stay away from cold places,29,추운 곳을 피하다,
steroids to reduce inflammation,30,염증을 줄이기 위한 스테로이드제,
surgery,31,수술,
x-ray,32,엑스레이를 찍다,
