시도별,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비
전국,37208,37530,20400,17962
서울특별시,44865,49121,23440,21891
부산광역시,27409,29388,19680,18030
대구광역시,23744,27798,19210,17850
인천광역시,30425,32571,19332,16451
광주광역시,27548,30964,20532,18231
대전광역시,28364,31548,20498,18025
울산광역시,65352,54969,22550,18482
세종특별자치시,35826,36983,19789,16762
경기도,36133,38466,20482,17399
강원도,32061,29392,18997,16811
충청북도,42653,34484,18823,15802
충청남도,52402,40953,18955,16037
전라북도,28740,28260,18725,16022
전라남도,43323,35532,18711,16104
경상북도,40272,34873,18611,16217
경상남도,33690,32140,18939,16426
제주특별자치도,30720,30834,18734,16953
