"행정구역(시도)별","업종별",2019
"서울특별시","총지수",117.6
"서울특별시","백화점",101.1
"서울특별시","대형마트",87.0
"서울특별시","면세점",354.8
"서울특별시","슈퍼마켓· 잡화점 및 편의점",111.2
"서울특별시","승용차 및 연료소매점",108.0
"서울특별시","전문소매점",102.5
"부산광역시","총지수",102.1
"부산광역시","백화점",105.1
"부산광역시","대형마트",90.0
"부산광역시","면세점",137.9
"부산광역시","슈퍼마켓· 잡화점 및 편의점",108.5
"부산광역시","승용차 및 연료소매점",109.5
"부산광역시","전문소매점",94.5
"대구광역시","총지수",101.3
"대구광역시","백화점",111.2
"대구광역시","대형마트",96.0
"대구광역시","슈퍼마켓· 잡화점 및 편의점",111.8
"대구광역시","승용차 및 연료소매점",107.8
"대구광역시","전문소매점",91.6
"광주광역시","총지수",100.2
"광주광역시","백화점",94.8
"광주광역시","대형마트",91.6
"광주광역시","슈퍼마켓· 잡화점 및 편의점",106.1
"광주광역시","승용차 및 연료소매점",109.1
"광주광역시","전문소매점",96.2
"경기도","총지수",105.8
"경기도","백화점",109.8
"경기도","대형마트",100.3
"경기도","슈퍼마켓· 잡화점 및 편의점",115.5
"경기도","승용차 및 연료소매점",111.1
"경기도","전문소매점",98.3
"충청남도","총지수",105.7
"충청남도","대형마트",99.6
"충청남도","슈퍼마켓· 잡화점 및 편의점",114.5
"충청남도","승용차 및 연료소매점",112.6
"충청남도","전문소매점",95.1
"경상남도","총지수",100.1
"경상남도","백화점",95.9
"경상남도","대형마트",92.9
"경상남도","슈퍼마켓· 잡화점 및 편의점",102.3
"경상남도","승용차 및 연료소매점",105.1
"경상남도","전문소매점",95.9
