"특성별(1)",특성별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"특성별(1)",특성별(2),식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류
"특성별(1)",특성별(2),상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역
"특성별(1)",특성별(2),방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외,방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외,방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외,방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외,방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외
"전체",소계,92.2,4.4,3.4,61.5,0.3,0.3,8.0,21.6,8.2,0.2,95.7,2.2,1.4,0.4,0.4,65.8,22.3,11.9,72.7,1.4,2.5,5.5,16.2,1.5,0.2,93.4,4.4,1.5,0.5,0.3,49.8,34.9,15.3,39.4,24.7,23.5,10.6,0.9,0.0,0.9,51.5,28.5,12.0,6.3,1.6,30.7,22.2,47.1,46.1,4.3,48.8,0.5,0.1,0.0,0.1,65.8,20.1,8.9,4.1,1.0,31.8,36.2,32.0,41.7,3.9,50.4,0.2,1.6,0.4,1.9,85.0,7.9,3.4,2.3,1.5
"읍·면·동별",조치원읍,92.3,4.2,3.6,42.5,0.5,0.1,16.8,31.9,8.0,0.1,96.5,1.1,1.6,0.5,0.3,66.6,20.6,12.8,51.0,0.5,2.3,13.7,31.0,1.2,0.2,94.6,2.0,2.7,0.4,0.2,43.9,35.1,21.1,27.0,19.4,30.2,21.8,1.3,0.0,0.4,61.8,8.9,24.0,4.1,1.3,24.0,16.4,59.7,45.2,3.9,49.1,1.8,0.0,0.0,0.0,80.8,5.3,12.1,1.8,0.0,22.5,30.1,47.4,27.2,2.8,65.2,1.4,1.9,0.0,1.5,87.8,2.8,5.2,3.2,0.9
"읍·면·동별",면지역,92.5,1.5,5.9,29.9,0.2,0.0,21.2,41.4,7.3,0.0,93.6,4.0,2.2,0.2,0.1,74.2,10.1,15.7,46.1,0.8,1.6,14.7,33.7,3.0,0.0,92.0,5.3,2.5,0.2,0.0,53.4,21.8,24.8,30.1,8.8,25.2,33.8,1.1,0.0,1.0,65.7,14.0,16.1,3.2,1.1,20.3,10.9,68.8,40.6,2.3,54.6,2.6,0.0,0.0,0.0,58.8,14.1,23.3,1.8,1.9,16.0,21.2,62.8,38.2,1.8,54.1,0.4,1.3,1.5,2.7,59.8,17.9,16.0,4.5,1.8
"읍·면·동별",동지역,92.0,5.3,2.7,74.7,0.3,0.5,2.2,13.6,8.5,0.2,96.1,2.0,1.0,0.4,0.4,63.2,26.1,10.7,86.7,1.9,2.8,0.5,6.8,1.1,0.2,93.5,4.7,0.8,0.6,0.4,50.3,38.4,11.3,44.7,30.4,21.6,1.6,0.8,0.0,0.9,45.3,36.8,8.3,7.7,1.8,35.1,26.7,38.2,47.2,4.7,47.9,0.0,0.2,0.0,0.1,64.5,23.4,6.1,4.9,1.1,38.4,41.9,19.8,44.1,4.3,47.9,0.0,1.6,0.3,1.8,87.4,7.5,1.7,1.9,1.6
"성별",남자,92.0,5.3,2.7,60.6,0.4,0.3,6.5,22.0,9.9,0.2,96.1,1.9,1.4,0.3,0.4,63.3,19.6,17.1,73.1,0.9,1.5,4.5,17.4,2.5,0.2,94.7,2.9,1.6,0.5,0.2,50.3,31.0,18.6,42.4,23.6,24.1,8.5,1.0,0.0,0.5,52.4,26.9,13.2,5.5,2.0,28.5,22.0,49.5,50.7,3.8,44.9,0.6,0.0,0.0,0.0,69.8,17.3,9.0,3.1,0.8,29.6,35.4,34.9,43.2,2.4,49.6,0.3,2.2,0.5,1.7,86.9,6.5,4.2,1.7,0.7
"성별",여자,90.4,4.3,5.3,62.2,0.2,0.3,9.4,21.1,6.6,0.1,95.3,2.6,1.3,0.4,0.3,68.2,25.0,6.9,72.4,2.0,3.3,6.5,15.1,0.6,0.1,92.2,5.7,1.3,0.4,0.4,49.4,38.7,12.0,36.4,25.8,22.9,12.8,0.9,0.0,1.2,50.7,30.2,10.8,7.1,1.3,32.8,22.4,44.8,42.2,4.7,52.2,0.5,0.2,0.0,0.2,62.5,22.4,8.8,5.0,1.2,33.9,37.1,29.0,40.4,5.1,51.1,0.1,1.1,0.2,2.0,83.3,9.1,2.7,2.7,2.2
